ShiftKey,LineId,HourLabel,Segment,SegmentLabel,Minutes,SegmentColor
hu3|2026-06-13|day,hu3,07:00,running,Running,7.9,#c7c0e8
hu3|2026-06-13|day,hu3,07:00,sealing,Sealing,13.8,#F59E0B
hu3|2026-06-13|day,hu3,07:00,handling,Handling,0.8,#8B5CF6
hu3|2026-06-13|day,hu3,07:00,pneumatic,Pneumatic,35.2,#10B981
hu3|2026-06-13|day,hu3,07:00,unattributed,Other,2.3,#b2bec3
hu3|2026-06-13|day,hu3,08:00,running,Running,31.0,#c7c0e8
hu3|2026-06-13|day,hu3,08:00,web,Web / Reel,10.7,#3B82F6
hu3|2026-06-13|day,hu3,08:00,handling,Handling,1.7,#8B5CF6
hu3|2026-06-13|day,hu3,08:00,pneumatic,Pneumatic,6.1,#10B981
hu3|2026-06-13|day,hu3,08:00,unattributed,Other,10.5,#b2bec3
hu3|2026-06-13|day,hu3,09:00,running,Running,39.7,#c7c0e8
hu3|2026-06-13|day,hu3,09:00,handling,Handling,7.6,#8B5CF6
hu3|2026-06-13|day,hu3,09:00,pneumatic,Pneumatic,6.4,#10B981
hu3|2026-06-13|day,hu3,09:00,unattributed,Other,6.3,#b2bec3
hu3|2026-06-13|day,hu3,10:00,running,Running,40.4,#c7c0e8
hu3|2026-06-13|day,hu3,10:00,web,Web / Reel,11.5,#3B82F6
hu3|2026-06-13|day,hu3,10:00,handling,Handling,1.5,#8B5CF6
hu3|2026-06-13|day,hu3,10:00,unattributed,Other,6.7,#b2bec3
hu3|2026-06-13|day,hu3,11:00,running,Running,10.0,#c7c0e8
hu3|2026-06-13|day,hu3,11:00,web,Web / Reel,1.7,#3B82F6
hu3|2026-06-13|day,hu3,11:00,handling,Handling,1.3,#8B5CF6
hu3|2026-06-13|day,hu3,11:00,unattributed,Other,47.1,#b2bec3
hu3|2026-06-13|day,hu3,12:00,running,Running,14.4,#c7c0e8
hu3|2026-06-13|day,hu3,12:00,sealing,Sealing,4.1,#F59E0B
hu3|2026-06-13|day,hu3,12:00,manual,Manual,12.1,#636e72
hu3|2026-06-13|day,hu3,12:00,unattributed,Other,29.4,#b2bec3
hu3|2026-06-13|day,hu3,13:00,running,Running,44.9,#c7c0e8
hu3|2026-06-13|day,hu3,13:00,web,Web / Reel,9.8,#3B82F6
hu3|2026-06-13|day,hu3,13:00,handling,Handling,1.5,#8B5CF6
hu3|2026-06-13|day,hu3,13:00,pneumatic,Pneumatic,0.8,#10B981
hu3|2026-06-13|day,hu3,13:00,manual,Manual,0.7,#636e72
hu3|2026-06-13|day,hu3,13:00,unattributed,Other,2.3,#b2bec3
hu3|2026-06-13|day,hu3,14:00,running,Running,20.8,#c7c0e8
hu3|2026-06-13|day,hu3,14:00,web,Web / Reel,23.8,#3B82F6
hu3|2026-06-13|day,hu3,14:00,handling,Handling,1.6,#8B5CF6
hu3|2026-06-13|day,hu3,14:00,unattributed,Other,13.9,#b2bec3
hu3|2026-06-13|day,hu3,15:00,running,Running,60.0,#c7c0e8
hu3|2026-06-13|day,hu3,16:00,running,Running,28.0,#c7c0e8
hu3|2026-06-13|day,hu3,16:00,web,Web / Reel,11.9,#3B82F6
